x,y,bloque,grupo,zona,OBJECTID_12,p_eucalipto,p_frondosa,p_pino
548753.5,4678214.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9722,0.0244,0.0035
548647.5,4678653.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.5875,0.3639,0.0486
548872.5,4678439.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.5761,0.2821,0.1418
548788.5,4678280.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.4964,0.4845,0.0191
548764.5,4678295.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9074,0.0852,0.0075
548782.5,4678603.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.6701,0.2911,0.0388
548455.5,4678637.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.3407,0.6292,0.0301
548477.5,4678527.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.1975,0.7831,0.0194
548488.5,4678485.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.11,0.8876,0.0024
548714.5,4678283.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.6979,0.2426,0.0595
548523.5,4678546.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8622,0.1195,0.0183
548763.5,4678702.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8985,0.0876,0.014
548686.5,4678481.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.907,0.0776,0.0154
548540.5,4678844.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.041,0.9537,0.0053
548775.5,4678701.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9529,0.0374,0.0096
548470.5,4678561.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.4814,0.5141,0.0045
548661.5,4678574.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.5247,0.4123,0.063
548688.5,4678642.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.2237,0.7583,0.018
548524.5,4678849.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.0063,0.9804,0.0133
548686.5,4678541.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.2388,0.7555,0.0057
548501.5,4678386.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.1415,0.8538,0.0047
548803.5,4678420.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.4064,0.5907,0.003
548524.5,4678658.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.868,0.1215,0.0105
548781.5,4678393.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.7994,0.1765,0.0241
548695.5,4678689.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.1861,0.6078,0.2061
548748.5,4678246.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8021,0.1811,0.0168
548565.5,4678945.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.1699,0.8228,0.0073
548520.5,4678526.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9396,0.0569,0.0035
548837.5,4678601.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.573,0.3926,0.0344
548760.5,4678591.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9003,0.0857,0.014
548655.5,4678621.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.6991,0.2898,0.0111
548619.5,4678421.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9722,0.02,0.0078
548659.5,4678581.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8358,0.1148,0.0495
548748.5,4678602.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.6977,0.2738,0.0285
548700.5,4678644.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9165,0.0448,0.0388
548527.5,4678900.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8253,0.1683,0.0064
548572.5,4678407.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.4498,0.5468,0.0034
548744.5,4678364.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.2134,0.7664,0.0202
548670.5,4678332.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.315,0.671,0.014
548466.5,4678568.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8618,0.0448,0.0935
548736.5,4678717.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.5825,0.4038,0.0137
548729.5,4678577.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.414,0.578,0.0079
548673.5,4678502.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.6796,0.2503,0.0702
548538.5,4678578.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.1694,0.8258,0.0048
548981.5,4678286.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,86520,0.9052,0.0755,0.0193
548627.5,4678579.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.3215,0.6503,0.0282
548540.5,4678912.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.0949,0.8926,0.0125
548601.5,4678592.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.1833,0.8017,0.015
548811.5,4678587.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.823,0.1661,0.0109
548703.5,4678353.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.7885,0.117,0.0944
548811.5,4678508.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9541,0.0286,0.0174
548792.5,4678668.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.3907,0.5934,0.0159
548582.5,4678662.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.2892,0.6915,0.0192
548694.5,4678569.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.6449,0.2952,0.0599
548894.5,4678525.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8236,0.0569,0.1195
548613.5,4678476.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8798,0.1173,0.0028
548463.5,4678572.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9708,0.0176,0.0116
548669.5,4678351.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9852,0.0034,0.0114
548458.5,4678580.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.6722,0.3024,0.0254
548701.5,4678586.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.4038,0.5768,0.0194
548789.5,4678270.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8295,0.1032,0.0674
548722.5,4678273.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.904,0.0894,0.0066
548511.5,4678451.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.0791,0.9175,0.0034
548611.5,4678670.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.0795,0.9107,0.0098
548455.5,4678816.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.6651,0.3336,0.0012
548680.5,4678468.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.7395,0.2358,0.0247
548491.5,4678377.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8768,0.1218,0.0014
548810.5,4678383.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8661,0.1295,0.0045
548621.5,4678520.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8148,0.1283,0.0569
548797.5,4678582.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.7245,0.2446,0.0309
548543.5,4678752.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9124,0.0459,0.0417
548674.5,4678608.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.0158,0.9823,0.0019
548502.5,4678750.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.7471,0.2406,0.0122
548589.5,4678645.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.5881,0.4045,0.0074
548603.5,4678505.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.5438,0.389,0.0673
548833.5,4678607.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.4035,0.5673,0.0292
548633.5,4678551.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.716,0.2735,0.0105
548793.5,4678325.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9676,0.0248,0.0076
548449.5,4678827.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9172,0.0807,0.0021
548738.5,4678247.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.4575,0.5347,0.0078
548664.5,4678700.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.304,0.3335,0.3625
548791.5,4678397.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.385,0.5889,0.026
548556.5,4678720.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.1605,0.8308,0.0087
548709.5,4678585.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.1795,0.7947,0.0258
548725.5,4678323.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.2301,0.7531,0.0168
548806.5,4678399.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9199,0.0479,0.0323
548754.5,4678279.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9198,0.0573,0.0229
548620.5,4678500.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.7986,0.1988,0.0025
548782.5,4678321.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9531,0.0404,0.0065
548557.5,4678674.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.6221,0.36,0.0179
548497.5,4678733.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.1757,0.8204,0.0039
548601.5,4678572.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.1119,0.8669,0.0211
548654.5,4678503.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9065,0.091,0.0024
548763.5,4678258.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9318,0.0514,0.0167
548753.5,4678562.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8715,0.111,0.0176
548489.5,4678523.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.0389,0.9427,0.0184
548587.5,4678607.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.5405,0.4457,0.0138
548765.5,4678444.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.439,0.1284,0.4326
548730.5,4678534.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.2615,0.7218,0.0168
548554.5,4678712.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.258,0.7395,0.0025
548785.5,4678305.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9108,0.0864,0.0029
548720.5,4678614.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.0485,0.9435,0.008
548537.5,4678559.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8264,0.1535,0.02
548563.5,4678722.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.681,0.2888,0.0303
548696.5,4678603.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.0199,0.9687,0.0114
548676.5,4678487.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8804,0.0807,0.0389
548453.5,4678701.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9247,0.06,0.0152
548618.5,4678460.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9246,0.0293,0.0461
548734.5,4678588.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.1624,0.7852,0.0524
548523.5,4678363.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.39,0.6054,0.0047
548680.5,4678352.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9909,0.0039,0.0052
548600.5,4678654.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.1635,0.8288,0.0077
548830.5,4678621.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.7542,0.2406,0.0053
548726.5,4678313.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.5579,0.4368,0.0053
548590.5,4678424.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.5573,0.3962,0.0465
548538.5,4678590.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.0086,0.9856,0.0058
548868.5,4678480.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.4406,0.4435,0.1159
548706.5,4678306.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.7207,0.1433,0.136
548591.5,4678560.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.0772,0.9124,0.0104
548858.5,4678452.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9018,0.0877,0.0105
548534.5,4678693.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.7596,0.2241,0.0163
548766.5,4678663.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.6091,0.3451,0.0458
548531.5,4678687.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.079,0.8948,0.0263
548718.5,4678458.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9795,0.0123,0.0083
548539.5,4678856.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.0734,0.9225,0.0041
548644.5,4678434.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.0164,0.9823,0.0014
548615.5,4678642.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.6338,0.3527,0.0135
548794.5,4678503.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.7025,0.2872,0.0103
548525.5,4678797.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9454,0.0515,0.0031
548788.5,4678487.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9723,0.0253,0.0025
548816.5,4678617.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.0476,0.9498,0.0026
548778.5,4678660.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.3347,0.6405,0.0247
548740.5,4678238.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9218,0.0725,0.0056
548723.5,4678576.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.3529,0.6362,0.0109
548499.5,4678519.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.1967,0.7828,0.0205
548852.5,4678384.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9009,0.0858,0.0133
548770.5,4678236.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9554,0.0329,0.0117
548570.5,4678447.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.0658,0.933,0.0012
548718.5,4678717.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.5069,0.485,0.0081
548707.5,4678319.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.0145,0.9791,0.0064
548751.5,4678616.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.4574,0.4876,0.055
548769.5,4678281.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.9281,0.0559,0.016
548447.5,4678817.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.3798,0.6195,0.0007
548774.5,4678437.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8951,0.0789,0.0259
548530.5,4678828.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.0939,0.8546,0.0515
548878.5,4678515.5,PNOA-2024-GAL-548-4679-H29-NPC01,frondosa,109_935,95549,0.8298,0.1546,0.0157
548699.5,4679094.5,PNOA-2024-GAL-548-4680-H29-NPC01,frondosa,109_935,95549,0.0475,0.9237,0.0287
548890.5,4680645.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.1981,0.799,0.0029
548928.5,4680740.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.8672,0.1092,0.0236
548258.5,4680844.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.2008,0.6326,0.1666
548791.5,4680904.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.958,0.0263,0.0157
548347.5,4680638.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,85431,0.9626,0.0226,0.0148
548893.5,4680793.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.7768,0.1587,0.0645
548781.5,4680954.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.6104,0.3575,0.032
548685.5,4680841.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.9906,0.0065,0.0029
548497.5,4680949.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.7022,0.2444,0.0534
548786.5,4680881.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.9713,0.0161,0.0126
548886.5,4680796.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.7784,0.2034,0.0182
548447.5,4680952.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.5056,0.3853,0.1091
548214.5,4680858.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.3804,0.1368,0.4828
548411.5,4680549.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.1912,0.7779,0.031
548493.5,4680978.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.0951,0.8881,0.0168
548186.5,4680915.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.5186,0.2597,0.2217
548726.5,4680925.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.9474,0.0466,0.0059
548728.5,4680833.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.9803,0.0081,0.0116
548376.5,4680741.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,85431,0.1692,0.8117,0.0191
548315.5,4680921.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.1046,0.5143,0.3811
548397.5,4680905.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.7716,0.2169,0.0114
548290.5,4680919.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.0537,0.0155,0.9308
548755.5,4680968.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.8033,0.1371,0.0596
548481.5,4680792.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,85431,0.8428,0.137,0.0202
548913.5,4680848.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.2383,0.7401,0.0216
548600.5,4680554.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.8789,0.0551,0.066
548473.5,4680914.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.7569,0.1381,0.1049
548484.5,4680919.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.706,0.2537,0.0403
548892.5,4680940.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.8473,0.1437,0.009
548255.5,4680934.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.1138,0.3613,0.5249
548412.5,4680892.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.1997,0.1668,0.6335
548414.5,4680623.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.9399,0.0494,0.0108
548213.5,4680883.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.1409,0.761,0.098
548404.5,4680782.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,85431,0.7821,0.1664,0.0516
548632.5,4680900.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.5064,0.4658,0.0278
548476.5,4680974.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.8741,0.1052,0.0208
548856.5,4680721.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.1315,0.7944,0.0741
548790.5,4680755.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.9747,0.0163,0.009
548242.5,4680833.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.6446,0.1843,0.1712
548762.5,4680912.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.985,0.0121,0.0029
548200.5,4680886.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.6785,0.1075,0.214
548848.5,4680650.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.9169,0.0777,0.0054
548507.5,4680537.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.8353,0.1067,0.058
548440.5,4680675.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.273,0.3221,0.4049
548880.5,4680873.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.5556,0.4334,0.011
548819.5,4680814.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.8763,0.0641,0.0596
548680.5,4680904.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.8507,0.1444,0.0049
548463.5,4680764.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,85431,0.4904,0.2242,0.2854
548681.5,4680729.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.9725,0.0146,0.0128
548348.5,4680584.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.8476,0.1012,0.0511
548447.5,4680747.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,85431,0.1223,0.8587,0.019
548648.5,4680984.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.1387,0.8262,0.035
548847.5,4680727.5,PNOA-2024-GAL-548-4681-H29-NPC01,eucalipto,109_936,95546,0.3789,0.6174,0.0038
