x,y,h_max,h_media,area_m2,bloque,OBJECTID_12,grupo,zona
509749.5,4642083.5,25.99,20.02,75,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
509650.5,4642648.5,17.17,16.08,25,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
509904.5,4642075.5,24.93,15.6,157,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
509796.5,4642518.5,17.03,14.45,84,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
509855.5,4642100.5,28.71,27.14,63,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
509883.5,4642413.5,16.25,10.84,97,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
509769.5,4642461.5,17.83,10.53,181,PNOA-2024-GAL-509-4643-H29-NPC01,80300,eucalipto,101_928
509871.5,4655884.5,17.18,12.84,98,PNOA-2024-GAL-509-4656-H29-NPC01,82276,eucalipto,101_931
509984.5,4655829.5,29.41,24.0,112,PNOA-2024-GAL-509-4656-H29-NPC01,82276,eucalipto,101_931
509778.5,4655957.5,17.07,14.73,53,PNOA-2024-GAL-509-4656-H29-NPC01,82276,eucalipto,101_931
509962.5,4655597.5,20.89,12.84,103,PNOA-2024-GAL-509-4656-H29-NPC01,82278,eucalipto,101_931
509866.5,4655888.5,15.41,13.05,30,PNOA-2024-GAL-509-4656-H29-NPC01,82276,eucalipto,101_931
509836.5,4655966.5,30.6,17.78,202,PNOA-2024-GAL-509-4656-H29-NPC01,82276,eucalipto,101_931
509661.5,4655947.5,27.59,23.65,151,PNOA-2024-GAL-509-4656-H29-NPC01,82276,eucalipto,101_931
509677.5,4655828.5,25.27,22.11,119,PNOA-2024-GAL-509-4656-H29-NPC01,82276,eucalipto,101_931
509878.5,4655950.5,15.14,10.01,72,PNOA-2024-GAL-509-4656-H29-NPC01,82276,eucalipto,101_931
509663.5,4655598.5,8.05,7.15,20,PNOA-2024-GAL-509-4656-H29-NPC01,82279,eucalipto,101_931
509742.5,4655961.5,21.88,17.86,207,PNOA-2024-GAL-509-4656-H29-NPC01,82276,eucalipto,101_931
509894.5,4655832.5,14.44,9.71,50,PNOA-2024-GAL-509-4656-H29-NPC01,82276,eucalipto,101_931
509529.5,4656174.5,25.04,19.3,116,PNOA-2024-GAL-509-4657-H29-NPC01,82276,eucalipto,101_931
509629.5,4656069.5,20.93,18.02,48,PNOA-2024-GAL-509-4657-H29-NPC01,82276,eucalipto,101_931
509980.5,4656325.5,11.92,10.03,29,PNOA-2024-GAL-509-4657-H29-NPC01,82276,eucalipto,101_931
509885.5,4656168.5,26.93,25.47,79,PNOA-2024-GAL-509-4657-H29-NPC01,82276,eucalipto,101_931
509964.5,4656369.5,11.35,9.04,26,PNOA-2024-GAL-509-4657-H29-NPC01,82276,eucalipto,101_931
509407.5,4656532.5,19.28,13.41,72,PNOA-2024-GAL-509-4657-H29-NPC01,82276,eucalipto,101_931
509433.5,4656200.5,21.17,18.66,51,PNOA-2024-GAL-509-4657-H29-NPC01,82276,eucalipto,101_931
509579.5,4656058.5,19.22,16.53,67,PNOA-2024-GAL-509-4657-H29-NPC01,82276,eucalipto,101_931
509332.5,4656300.5,15.93,14.23,82,PNOA-2024-GAL-509-4657-H29-NPC01,82276,eucalipto,101_931
509800.5,4656206.5,25.46,22.97,49,PNOA-2024-GAL-509-4657-H29-NPC01,82276,eucalipto,101_931
509734.5,4656028.5,20.18,16.81,107,PNOA-2024-GAL-509-4657-H29-NPC01,82276,eucalipto,101_931
509855.5,4656309.5,13.15,9.48,99,PNOA-2024-GAL-509-4657-H29-NPC01,82276,eucalipto,101_931
509464.5,4656147.5,28.03,25.29,65,PNOA-2024-GAL-509-4657-H29-NPC01,82276,eucalipto,101_931
509472.5,4656304.5,19.18,13.98,66,PNOA-2024-GAL-509-4657-H29-NPC01,82276,eucalipto,101_931
509977.5,4656378.5,14.65,10.93,78,PNOA-2024-GAL-509-4657-H29-NPC01,82276,eucalipto,101_931
509909.5,4656161.5,28.47,21.25,437,PNOA-2024-GAL-509-4657-H29-NPC01,82276,eucalipto,101_931
509320.5,4656308.5,16.23,13.25,160,PNOA-2024-GAL-509-4657-H29-NPC01,82276,eucalipto,101_931
509358.5,4656480.5,22.17,20.9,28,PNOA-2024-GAL-509-4657-H29-NPC01,82276,eucalipto,101_931
509629.5,4656146.5,12.46,10.14,40,PNOA-2024-GAL-509-4657-H29-NPC01,82276,eucalipto,101_931
509895.5,4657768.5,21.07,19.25,105,PNOA-2024-GAL-509-4658-H29-NPC01,85202,eucalipto,101_931
509920.5,4657733.5,17.8,13.53,52,PNOA-2024-GAL-509-4658-H29-NPC01,85202,eucalipto,101_931
509989.5,4657242.5,20.21,17.27,59,PNOA-2024-GAL-509-4658-H29-NPC01,85202,eucalipto,101_931
509980.5,4657142.5,20.02,18.67,29,PNOA-2024-GAL-509-4658-H29-NPC01,85202,eucalipto,101_931
509882.5,4657645.5,16.18,13.07,103,PNOA-2024-GAL-509-4658-H29-NPC01,85202,eucalipto,101_931
509883.5,4657772.5,21.94,19.35,44,PNOA-2024-GAL-509-4658-H29-NPC01,85202,eucalipto,101_931
509931.5,4657532.5,19.59,17.65,45,PNOA-2024-GAL-509-4658-H29-NPC01,85202,eucalipto,101_931
509955.5,4657121.5,18.89,16.85,55,PNOA-2024-GAL-509-4658-H29-NPC01,85202,eucalipto,101_931
510221.5,4640823.5,18.6,13.35,55,PNOA-2024-GAL-510-4641-H29-NPC01,80300,eucalipto,102_928
510090.5,4640884.5,27.68,22.12,108,PNOA-2024-GAL-510-4641-H29-NPC01,80300,eucalipto,102_928
510128.5,4640852.5,19.57,16.88,67,PNOA-2024-GAL-510-4641-H29-NPC01,80300,eucalipto,102_928
510067.5,4640313.5,28.42,18.21,101,PNOA-2024-GAL-510-4641-H29-NPC01,80300,eucalipto,102_928
510065.5,4640527.5,34.63,31.6,194,PNOA-2024-GAL-510-4641-H29-NPC01,80300,eucalipto,102_928
510143.5,4640767.5,22.31,18.43,101,PNOA-2024-GAL-510-4641-H29-NPC01,80300,eucalipto,102_928
510013.5,4640961.5,32.67,30.44,97,PNOA-2024-GAL-510-4641-H29-NPC01,80300,eucalipto,102_928
510064.5,4640842.5,32.1,27.01,74,PNOA-2024-GAL-510-4641-H29-NPC01,80300,eucalipto,102_928
510259.5,4640910.5,11.28,9.29,82,PNOA-2024-GAL-510-4641-H29-NPC01,80300,eucalipto,102_928
510212.5,4640936.5,18.61,15.96,30,PNOA-2024-GAL-510-4641-H29-NPC01,80300,eucalipto,102_928
510253.5,4640934.5,17.09,9.23,113,PNOA-2024-GAL-510-4641-H29-NPC01,80300,eucalipto,102_928
510215.5,4640549.5,22.28,19.6,83,PNOA-2024-GAL-510-4641-H29-NPC01,80300,eucalipto,102_928
510222.5,4640988.5,21.39,18.37,50,PNOA-2024-GAL-510-4641-H29-NPC01,80300,eucalipto,102_928
510123.5,4640944.5,31.21,28.43,216,PNOA-2024-GAL-510-4641-H29-NPC01,80300,eucalipto,102_928
510774.5,4640949.5,18.14,14.71,122,PNOA-2024-GAL-510-4641-H29-NPC01,86241,pino,102_928
510501.5,4640778.5,20.0,16.88,58,PNOA-2024-GAL-510-4641-H29-NPC01,82378,pino,102_928
510624.5,4640603.5,19.05,16.98,73,PNOA-2024-GAL-510-4641-H29-NPC01,82378,pino,102_928
510897.5,4640668.5,19.58,16.53,79,PNOA-2024-GAL-510-4641-H29-NPC01,82378,pino,102_928
510801.5,4640789.5,12.37,9.75,61,PNOA-2024-GAL-510-4641-H29-NPC01,86241,pino,102_928
510701.5,4640488.5,23.43,18.58,110,PNOA-2024-GAL-510-4641-H29-NPC01,82378,pino,102_928
510652.5,4640437.5,20.06,17.61,125,PNOA-2024-GAL-510-4641-H29-NPC01,82378,pino,102_928
510612.5,4640910.5,22.24,18.78,180,PNOA-2024-GAL-510-4641-H29-NPC01,82378,pino,102_928
510833.5,4640484.5,20.75,19.05,64,PNOA-2024-GAL-510-4641-H29-NPC01,82378,pino,102_928
510628.5,4640526.5,17.15,15.71,44,PNOA-2024-GAL-510-4641-H29-NPC01,82378,pino,102_928
510711.5,4640586.5,23.74,18.82,124,PNOA-2024-GAL-510-4641-H29-NPC01,82378,pino,102_928
510972.5,4640315.5,8.59,7.0,45,PNOA-2024-GAL-510-4641-H29-NPC01,82378,pino,102_928
510926.5,4640519.5,26.46,21.65,134,PNOA-2024-GAL-510-4641-H29-NPC01,82378,pino,102_928
510793.5,4640787.5,12.23,10.29,78,PNOA-2024-GAL-510-4641-H29-NPC01,86241,pino,102_928
510644.5,4640549.5,18.7,16.33,38,PNOA-2024-GAL-510-4641-H29-NPC01,82378,pino,102_928
510778.5,4640262.5,25.0,23.16,94,PNOA-2024-GAL-510-4641-H29-NPC01,82378,pino,102_928
510965.5,4640833.5,24.05,22.53,98,PNOA-2024-GAL-510-4641-H29-NPC01,82378,pino,102_928
510965.5,4640794.5,22.63,19.7,74,PNOA-2024-GAL-510-4641-H29-NPC01,82378,pino,102_928
510153.5,4645738.5,24.91,18.1,139,PNOA-2024-GAL-510-4646-H29-NPC01,82214,eucalipto,102_929
510246.5,4645707.5,31.04,28.27,113,PNOA-2024-GAL-510-4646-H29-NPC01,82214,eucalipto,102_929
510687.5,4649831.5,13.96,11.33,101,PNOA-2024-GAL-510-4650-H29-NPC01,82283,eucalipto,102_929
510980.5,4649952.5,13.69,10.49,56,PNOA-2024-GAL-510-4650-H29-NPC01,82283,eucalipto,102_929
510983.5,4649907.5,13.81,9.74,115,PNOA-2024-GAL-510-4650-H29-NPC01,82283,eucalipto,102_929
510644.5,4649893.5,16.79,14.1,72,PNOA-2024-GAL-510-4650-H29-NPC01,82283,eucalipto,102_929
510635.5,4649776.5,11.35,8.74,49,PNOA-2024-GAL-510-4650-H29-NPC01,82283,eucalipto,102_929
510766.5,4649912.5,15.19,9.98,145,PNOA-2024-GAL-510-4650-H29-NPC01,82283,eucalipto,102_929
510856.5,4650120.5,12.54,9.53,150,PNOA-2024-GAL-510-4651-H29-NPC01,82283,eucalipto,102_930
510952.5,4650266.5,13.72,11.48,72,PNOA-2024-GAL-510-4651-H29-NPC01,82283,eucalipto,102_930
510993.5,4650120.5,15.66,10.07,38,PNOA-2024-GAL-510-4651-H29-NPC01,82283,eucalipto,102_930
510470.5,4650903.5,23.31,20.5,51,PNOA-2024-GAL-510-4651-H29-NPC01,80277,eucalipto,102_930
510736.5,4650120.5,13.48,10.19,38,PNOA-2024-GAL-510-4651-H29-NPC01,82283,eucalipto,102_930
510345.5,4650980.5,11.25,8.41,45,PNOA-2024-GAL-510-4651-H29-NPC01,80277,eucalipto,102_930
510349.5,4650957.5,29.65,20.05,214,PNOA-2024-GAL-510-4651-H29-NPC01,80277,eucalipto,102_930
510899.5,4650046.5,17.47,12.85,57,PNOA-2024-GAL-510-4651-H29-NPC01,82283,eucalipto,102_930
510861.5,4650321.5,13.49,11.56,28,PNOA-2024-GAL-510-4651-H29-NPC01,82283,eucalipto,102_930
510531.5,4650926.5,20.83,14.8,244,PNOA-2024-GAL-510-4651-H29-NPC01,80277,eucalipto,102_930
510964.5,4650971.5,13.32,11.76,29,PNOA-2024-GAL-510-4651-H29-NPC01,86251,pino,102_930
510972.5,4650959.5,11.61,10.51,43,PNOA-2024-GAL-510-4651-H29-NPC01,86251,pino,102_930
510853.5,4650720.5,13.26,11.74,35,PNOA-2024-GAL-510-4651-H29-NPC01,86251,pino,102_930
510817.5,4650733.5,12.88,9.72,194,PNOA-2024-GAL-510-4651-H29-NPC01,86251,pino,102_930
510930.5,4650713.5,15.62,13.97,57,PNOA-2024-GAL-510-4651-H29-NPC01,86251,pino,102_930
510718.5,4650911.5,14.53,11.7,91,PNOA-2024-GAL-510-4651-H29-NPC01,86251,pino,102_930
510810.5,4650856.5,13.78,11.76,52,PNOA-2024-GAL-510-4651-H29-NPC01,86251,pino,102_930
510944.5,4650734.5,14.63,12.85,70,PNOA-2024-GAL-510-4651-H29-NPC01,86251,pino,102_930
510867.5,4650668.5,15.03,11.04,96,PNOA-2024-GAL-510-4651-H29-NPC01,86251,pino,102_930
510882.5,4650936.5,12.1,9.59,136,PNOA-2024-GAL-510-4651-H29-NPC01,86251,pino,102_930
510853.5,4650698.5,14.31,11.66,86,PNOA-2024-GAL-510-4651-H29-NPC01,86251,pino,102_930
510951.5,4650675.5,12.05,8.95,51,PNOA-2024-GAL-510-4651-H29-NPC01,86251,pino,102_930
510549.5,4651299.5,25.4,23.23,92,PNOA-2024-GAL-510-4652-H29-NPC01,80277,eucalipto,102_930
510223.5,4651947.5,21.97,20.37,40,PNOA-2024-GAL-510-4652-H29-NPC01,85211,eucalipto,102_930
510882.5,4651126.5,30.7,27.04,88,PNOA-2024-GAL-510-4652-H29-NPC01,80277,eucalipto,102_930
510899.5,4651100.5,30.09,23.22,42,PNOA-2024-GAL-510-4652-H29-NPC01,80277,eucalipto,102_930
510691.5,4651126.5,34.36,25.48,136,PNOA-2024-GAL-510-4652-H29-NPC01,80277,eucalipto,102_930
510174.5,4651130.5,35.64,24.18,152,PNOA-2024-GAL-510-4652-H29-NPC01,80277,eucalipto,102_930
510092.5,4651184.5,35.37,29.89,353,PNOA-2024-GAL-510-4652-H29-NPC01,80277,eucalipto,102_930
510395.5,4651263.5,7.63,7.39,6,PNOA-2024-GAL-510-4652-H29-NPC01,80277,eucalipto,102_930
510440.5,4651208.5,25.88,23.91,74,PNOA-2024-GAL-510-4652-H29-NPC01,80277,eucalipto,102_930
510440.5,4651319.5,27.49,18.75,99,PNOA-2024-GAL-510-4652-H29-NPC01,80277,eucalipto,102_930
510740.5,4651070.5,30.14,26.21,155,PNOA-2024-GAL-510-4652-H29-NPC01,80277,eucalipto,102_930
510400.5,4651080.5,35.48,31.39,212,PNOA-2024-GAL-510-4652-H29-NPC01,80277,eucalipto,102_930
510341.5,4651799.5,25.58,21.71,115,PNOA-2024-GAL-510-4652-H29-NPC01,85211,eucalipto,102_930
510127.5,4651183.5,29.69,24.59,98,PNOA-2024-GAL-510-4652-H29-NPC01,80277,eucalipto,102_930
510415.5,4651245.5,26.28,17.99,57,PNOA-2024-GAL-510-4652-H29-NPC01,80277,eucalipto,102_930
510260.5,4651140.5,25.14,17.36,44,PNOA-2024-GAL-510-4652-H29-NPC01,80277,eucalipto,102_930
510333.5,4651810.5,27.74,23.54,92,PNOA-2024-GAL-510-4652-H29-NPC01,85211,eucalipto,102_930
510349.5,4651624.5,14.82,10.8,154,PNOA-2024-GAL-510-4652-H29-NPC01,85211,eucalipto,102_930
510536.5,4651032.5,9.63,8.28,26,PNOA-2024-GAL-510-4652-H29-NPC01,80277,eucalipto,102_930
510575.5,4651120.5,30.28,25.63,83,PNOA-2024-GAL-510-4652-H29-NPC01,80277,eucalipto,102_930
510173.5,4651249.5,27.28,24.67,72,PNOA-2024-GAL-510-4652-H29-NPC01,80277,eucalipto,102_930
510410.5,4651225.5,25.41,21.34,64,PNOA-2024-GAL-510-4652-H29-NPC01,80277,eucalipto,102_930
510470.5,4651316.5,16.62,12.46,118,PNOA-2024-GAL-510-4652-H29-NPC01,80277,eucalipto,102_930
510309.5,4651696.5,22.37,16.49,69,PNOA-2024-GAL-510-4652-H29-NPC01,85211,eucalipto,102_930
510988.5,4651974.5,7.33,6.81,22,PNOA-2024-GAL-510-4652-H29-NPC01,86251,pino,102_930
510943.5,4651247.5,14.05,11.81,61,PNOA-2024-GAL-510-4652-H29-NPC01,86251,pino,102_930
510873.5,4651217.5,12.0,11.16,28,PNOA-2024-GAL-510-4652-H29-NPC01,86251,pino,102_930
510775.5,4651270.5,15.39,12.92,43,PNOA-2024-GAL-510-4652-H29-NPC01,86251,pino,102_930
510807.5,4651056.5,14.11,11.26,134,PNOA-2024-GAL-510-4652-H29-NPC01,86251,pino,102_930
510916.5,4651263.5,15.41,13.71,92,PNOA-2024-GAL-510-4652-H29-NPC01,86251,pino,102_930
510980.5,4651181.5,15.12,12.82,54,PNOA-2024-GAL-510-4652-H29-NPC01,86251,pino,102_930
510843.5,4651796.5,13.2,9.51,65,PNOA-2024-GAL-510-4652-H29-NPC01,86251,pino,102_930
510727.5,4651244.5,15.75,11.55,162,PNOA-2024-GAL-510-4652-H29-NPC01,86251,pino,102_930
510921.5,4651765.5,12.89,10.76,47,PNOA-2024-GAL-510-4652-H29-NPC01,86251,pino,102_930
510749.5,4651295.5,23.04,12.35,203,PNOA-2024-GAL-510-4652-H29-NPC01,86251,pino,102_930
510330.5,4652186.5,24.81,21.35,79,PNOA-2024-GAL-510-4653-H29-NPC01,85211,eucalipto,102_930
510355.5,4652205.5,29.46,19.02,283,PNOA-2024-GAL-510-4653-H29-NPC01,85211,eucalipto,102_930
510185.5,4652152.5,27.28,24.99,45,PNOA-2024-GAL-510-4653-H29-NPC01,85211,eucalipto,102_930
510358.5,4652131.5,26.8,20.31,157,PNOA-2024-GAL-510-4653-H29-NPC01,85211,eucalipto,102_930
510994.5,4652091.5,6.14,5.97,6,PNOA-2024-GAL-510-4653-H29-NPC01,86251,pino,102_930
510972.5,4652125.5,6.66,6.21,8,PNOA-2024-GAL-510-4653-H29-NPC01,86251,pino,102_930
510702.5,4652362.5,7.2,6.51,11,PNOA-2024-GAL-510-4653-H29-NPC01,86251,pino,102_930
510852.5,4652168.5,7.7,6.9,16,PNOA-2024-GAL-510-4653-H29-NPC01,86251,pino,102_930
510819.5,4652254.5,7.4,6.85,7,PNOA-2024-GAL-510-4653-H29-NPC01,86251,pino,102_930
510957.5,4652235.5,9.24,7.94,50,PNOA-2024-GAL-510-4653-H29-NPC01,86251,pino,102_930
510058.5,4655929.5,33.5,24.71,329,PNOA-2024-GAL-510-4656-H29-NPC01,82276,eucalipto,102_931
510603.5,4655933.5,18.45,13.56,81,PNOA-2024-GAL-510-4656-H29-NPC01,82276,eucalipto,102_931
510761.5,4655803.5,26.28,19.67,33,PNOA-2024-GAL-510-4656-H29-NPC01,82276,eucalipto,102_931
510380.5,4655810.5,35.84,21.69,418,PNOA-2024-GAL-510-4656-H29-NPC01,82276,eucalipto,102_931
510266.5,4655909.5,25.93,20.07,194,PNOA-2024-GAL-510-4656-H29-NPC01,82276,eucalipto,102_931
510516.5,4655809.5,36.65,32.78,96,PNOA-2024-GAL-510-4656-H29-NPC01,82276,eucalipto,102_931
510973.5,4655777.5,23.78,16.66,265,PNOA-2024-GAL-510-4656-H29-NPC01,82276,eucalipto,102_931
510045.5,4655807.5,37.43,26.42,345,PNOA-2024-GAL-510-4656-H29-NPC01,82276,eucalipto,102_931
510571.5,4655887.5,34.25,29.61,84,PNOA-2024-GAL-510-4656-H29-NPC01,82276,eucalipto,102_931
510881.5,4655926.5,20.14,18.15,29,PNOA-2024-GAL-510-4656-H29-NPC01,82276,eucalipto,102_931
510255.5,4655968.5,33.9,27.64,140,PNOA-2024-GAL-510-4656-H29-NPC01,82276,eucalipto,102_931
510700.5,4655874.5,19.97,16.49,73,PNOA-2024-GAL-510-4656-H29-NPC01,82276,eucalipto,102_931
510114.5,4655958.5,17.97,15.79,33,PNOA-2024-GAL-510-4656-H29-NPC01,82276,eucalipto,102_931
510687.5,4655858.5,28.66,21.11,98,PNOA-2024-GAL-510-4656-H29-NPC01,82276,eucalipto,102_931
510292.5,4655840.5,29.82,26.38,84,PNOA-2024-GAL-510-4656-H29-NPC01,82276,eucalipto,102_931
510407.5,4661371.5,25.49,23.07,70,PNOA-2024-GAL-510-4662-H29-NPC01,82266,eucalipto,102_932
510466.5,4699612.5,9.77,8.23,78,PNOA-2024-GAL-510-4700-H29-NPC01,87538,frondosa,102_939
510484.5,4699653.5,7.19,6.11,13,PNOA-2024-GAL-510-4700-H29-NPC01,87538,frondosa,102_939
511090.5,4640528.5,25.0,23.45,38,PNOA-2024-GAL-511-4641-H29-NPC01,82378,pino,102_928
511015.5,4640516.5,22.58,18.36,133,PNOA-2024-GAL-511-4641-H29-NPC01,82378,pino,102_928
511252.5,4640692.5,6.47,5.98,10,PNOA-2024-GAL-511-4641-H29-NPC01,82378,pino,102_928
511170.5,4640500.5,29.29,26.16,73,PNOA-2024-GAL-511-4641-H29-NPC01,82378,pino,102_928
511016.5,4640286.5,31.86,22.63,414,PNOA-2024-GAL-511-4641-H29-NPC01,82378,pino,102_928
511116.5,4640490.5,19.56,14.1,137,PNOA-2024-GAL-511-4641-H29-NPC01,82378,pino,102_928
511282.5,4640748.5,22.27,17.83,159,PNOA-2024-GAL-511-4641-H29-NPC01,82378,pino,102_928
511319.5,4641329.5,27.2,20.55,94,PNOA-2024-GAL-511-4642-H29-NPC01,82378,pino,102_928
511169.5,4641721.5,27.94,22.1,320,PNOA-2024-GAL-511-4642-H29-NPC01,82378,pino,102_928
511060.5,4641184.5,9.52,7.44,81,PNOA-2024-GAL-511-4642-H29-NPC01,82378,pino,102_928
511237.5,4641140.5,7.66,6.98,20,PNOA-2024-GAL-511-4642-H29-NPC01,82378,pino,102_928
511200.5,4641988.5,22.23,18.71,102,PNOA-2024-GAL-511-4642-H29-NPC01,82378,pino,102_928
511233.5,4641144.5,6.55,6.08,18,PNOA-2024-GAL-511-4642-H29-NPC01,82378,pino,102_928
511058.5,4641371.5,25.2,21.07,166,PNOA-2024-GAL-511-4642-H29-NPC01,82368,pino,102_928
511196.5,4641719.5,26.43,21.91,165,PNOA-2024-GAL-511-4642-H29-NPC01,82378,pino,102_928
511094.5,4641737.5,24.5,18.5,285,PNOA-2024-GAL-511-4642-H29-NPC01,82378,pino,102_928
511129.5,4641031.5,17.31,13.39,64,PNOA-2024-GAL-511-4642-H29-NPC01,82378,pino,102_928
511151.5,4641361.5,30.45,27.07,200,PNOA-2024-GAL-511-4642-H29-NPC01,82368,pino,102_928
511026.5,4641275.5,26.87,24.42,137,PNOA-2024-GAL-511-4642-H29-NPC01,82368,pino,102_928
511354.5,4641680.5,28.38,26.01,158,PNOA-2024-GAL-511-4642-H29-NPC01,82378,pino,102_928
511130.5,4641240.5,26.84,24.14,75,PNOA-2024-GAL-511-4642-H29-NPC01,82368,pino,102_928
511023.5,4641913.5,23.63,19.71,55,PNOA-2024-GAL-511-4642-H29-NPC01,82378,pino,102_928
511144.5,4641485.5,8.64,7.65,39,PNOA-2024-GAL-511-4642-H29-NPC01,82368,pino,102_928
511352.5,4641253.5,20.18,16.4,176,PNOA-2024-GAL-511-4642-H29-NPC01,82378,pino,102_928
511116.5,4641660.5,30.12,27.7,178,PNOA-2024-GAL-511-4642-H29-NPC01,82378,pino,102_928
511005.5,4641984.5,27.9,25.91,114,PNOA-2024-GAL-511-4642-H29-NPC01,82378,pino,102_928
511159.5,4641292.5,29.06,26.0,90,PNOA-2024-GAL-511-4642-H29-NPC01,82368,pino,102_928
511071.5,4642284.5,28.4,24.64,130,PNOA-2024-GAL-511-4643-H29-NPC01,82378,pino,102_928
511138.5,4642199.5,22.86,16.69,66,PNOA-2024-GAL-511-4643-H29-NPC01,82378,pino,102_928
511018.5,4642261.5,23.82,21.25,105,PNOA-2024-GAL-511-4643-H29-NPC01,82378,pino,102_928
511352.5,4642132.5,10.31,8.44,61,PNOA-2024-GAL-511-4643-H29-NPC01,82378,pino,102_928
511028.5,4642565.5,19.97,18.07,44,PNOA-2024-GAL-511-4643-H29-NPC01,82378,pino,102_928
511289.5,4642440.5,26.74,23.69,49,PNOA-2024-GAL-511-4643-H29-NPC01,82378,pino,102_928
511015.5,4642465.5,21.85,17.68,71,PNOA-2024-GAL-511-4643-H29-NPC01,82378,pino,102_928
511304.5,4642131.5,11.11,9.17,86,PNOA-2024-GAL-511-4643-H29-NPC01,82378,pino,102_928
511047.5,4642245.5,27.23,24.22,92,PNOA-2024-GAL-511-4643-H29-NPC01,82378,pino,102_928
511185.5,4642049.5,10.27,8.25,84,PNOA-2024-GAL-511-4643-H29-NPC01,82378,pino,102_928
511146.5,4642167.5,11.14,9.32,66,PNOA-2024-GAL-511-4643-H29-NPC01,82378,pino,102_928
511311.5,4642021.5,10.32,7.53,70,PNOA-2024-GAL-511-4643-H29-NPC01,82378,pino,102_928
511186.5,4642149.5,11.59,9.39,88,PNOA-2024-GAL-511-4643-H29-NPC01,82378,pino,102_928
